Running on device: cuda
2023-12-17 22:44:19
Hyper Parameters:
BATCH_SIZE: 128
GAMMA: 0.99
EPS_START: 0.9
EPS_END: 0.05
EPS_DECAY: 1200
TAU: 0.005
LR: 0.001
| Episode:  378 | Episode reward:  -71.0  |  Average reward:  -71.859
| Episode:  379 | Episode reward:  -72.0  |  Average reward:  -71.909
| Episode:  380 | Episode reward:  -68.0  |  Average reward:  -71.949
| Episode:  381 | Episode reward:  -78.0  |  Average reward:  -71.859
| Episode:  382 | Episode reward:  -72.0  |  Average reward:  -71.989
| Episode:  383 | Episode reward:  -75.0  |  Average reward:  -71.949
| Episode:  384 | Episode reward:  -77.0  |  Average reward:  -71.979
| Episode:  385 | Episode reward:  -78.0  |  Average reward:  -72.149
| Episode:  386 | Episode reward:  -76.0  |  Average reward:  -72.249
| Episode:  387 | Episode reward:  -74.0  |  Average reward:  -72.219
| Episode:  388 | Episode reward:  -71.0  |  Average reward:  -72.368996
| Episode:  389 | Episode reward:  -71.0  |  Average reward:  -72.319
| Episode:  390 | Episode reward:  -72.0  |  Average reward:  -72.298996
| Episode:  391 | Episode reward:  -72.0  |  Average reward:  -72.239
| Episode:  392 | Episode reward:  -73.0  |  Average reward:  -72.188995
| Episode:  393 | Episode reward:  -71.0  |  Average reward:  -72.159
| Episode:  394 | Episode reward:  -79.0  |  Average reward:  -71.999
| Episode:  395 | Episode reward:  -74.0  |  Average reward:  -72.039
| Episode:  396 | Episode reward:  -78.0  |  Average reward:  -71.969
| Episode:  397 | Episode reward:  -69.0  |  Average reward:  -71.969
| Episode:  398 | Episode reward:  -78.0  |  Average reward:  -72.019
| Episode:  399 | Episode reward:  -66.0  |  Average reward:  -72.079
| Episode:  400 | Episode reward:  -77.0  |  Average reward:  -71.889
| Episode:  401 | Episode reward:  -41.99999999999999  |  Average reward:  -71.919
| Episode:  402 | Episode reward:  -77.0  |  Average reward:  -71.618996
| Episode:  403 | Episode reward:  -62.99999999999999  |  Average reward:  -71.618996
| Episode:  404 | Episode reward:  -80.0  |  Average reward:  -71.449
| Episode:  405 | Episode reward:  -79.0  |  Average reward:  -71.449
| Episode:  406 | Episode reward:  -79.0  |  Average reward:  -71.979
| Episode:  407 | Episode reward:  -71.0  |  Average reward:  -72.219
| Episode:  408 | Episode reward:  -78.0  |  Average reward:  -72.089
| Episode:  409 | Episode reward:  -74.0  |  Average reward:  -72.199
| Episode:  410 | Episode reward:  -67.0  |  Average reward:  -72.359
| Episode:  411 | Episode reward:  -60.99999999999999  |  Average reward:  -72.279
| Episode:  412 | Episode reward:  -82.0  |  Average reward:  -72.118996
| Episode:  413 | Episode reward:  -33.00000000000006  |  Average reward:  -72.319
